codigo,stock_actual,stock_min,stock_max,ubicacion,lote,costo_promedio,fecha_ultimo_movimiento,almacen
"VT-6MM-001",125,50,500,"A-01-15","LT-2024-001",210.00,"2024-01-15","ALM01"
"AL-NAT-001",320,100,1000,"B-02-08","LT-2024-002",87.30,"2024-01-14","ALM01"
"VL-8MM-001",85,30,300,"A-03-22","LT-2024-003",312.00,"2024-01-13","ALM01"
"HE-PREM-001",450,200,2000,"C-01-10","LT-2024-004",45.20,"2024-01-12","ALM01"
"VT-10MM-001",75,25,250,"A-01-16","LT-2024-005",280.00,"2024-01-11","ALM01"
"AL-ANO-001",180,80,800,"B-02-09","LT-2024-006",115.30,"2024-01-10","ALM01"
"VL-6MM-001",95,40,400,"A-03-23","LT-2024-007",252.00,"2024-01-09","ALM01"
"HE-EST-001",850,300,3000,"C-01-11","LT-2024-008",32.20,"2024-01-08","ALM01"
"VT-12MM-001",45,20,200,"A-01-17","LT-2024-009",348.00,"2024-01-07","ALM01"
"AL-BRO-001",165,70,700,"B-02-10","LT-2024-010",125.30,"2024-01-06","ALM01"
"VL-10MM-001",55,25,250,"A-03-24","LT-2024-011",390.00,"2024-01-05","ALM01"
"HE-LUX-001",275,150,1500,"C-01-12","LT-2024-012",65.20,"2024-01-04","ALM01"
"VT-8MM-001",110,35,350,"A-01-18","LT-2024-013",252.00,"2024-01-03","ALM01"
"AL-NEG-001",145,60,600,"B-02-11","LT-2024-014",135.30,"2024-01-02","ALM01"
"VL-12MM-001",35,20,200,"A-03-25","LT-2024-015",468.00,"2024-01-01","ALM01"
"HE-SEC-001",195,100,1000,"C-01-13","LT-2024-016",85.20,"2023-12-31","ALM01"
